Dia,Suspeitos,Isolados_Hospital,Isolados_Casa,Óbitos,Recuperados,Descartados,Confirmados,Fonte
2020-03-31,1,0,0,0,0,0,0,https://www.instagram.com/p/B-aqPdllYGB/
2020-04-03,2,1,0,0,0,0,1,https://www.facebook.com/dicom.saogabriel.3/photos/a.375820035921696/1314695718700785/?type=3&theater
2020-04-07,3,0,1,0,0,0,1,https://www.instagram.com/p/B-s32yNll6O/
2020-04-10,1,0,0,0,1,13,1,https://www.instagram.com/p/B-0Ie2GFVLu/
2020-04-13,2,0,0,0,1,13,1,https://www.instagram.com/p/B-79FI5lSkD/
2020-04-14,1,0,0,0,1,14,1,https://www.instagram.com/p/B--jljulMuR/
2020-04-15,1,0,0,0,1,14,1,https://www.instagram.com/p/B_Bov0NFdCq/
2020-04-17,1,0,0,0,1,15,1,https://www.instagram.com/p/B_GyJO7lvSW/
2020-04-20,3,0,0,0,1,16,1,https://www.instagram.com/p/B_OBpE2lWEL/
2020-04-21,1,0,0,0,1,18,1,https://www.instagram.com/p/B_Q8vpIFLTA/
2020-04-22,2,0,0,0,1,18,1,https://www.instagram.com/p/B_S9XrpliFf/
2020-04-23,1,0,0,0,1,19,1,https://www.instagram.com/p/B_Vp5dLFBVy/
2020-04-24,1,0,0,0,1,22,1,https://www.instagram.com/p/B_Yf4_4lvyQ/
2020-04-28,1,0,0,0,1,25,1,https://www.instagram.com/p/B_ivOkPl1a7/
2020-04-29,2,0,0,0,1,28,1,https://www.instagram.com/p/B_lLJjmFMUH/
2020-04-30,2,0,0,0,1,29,1,https://www.instagram.com/p/B_oTr4YFY1W/
2020-05-04,2,0,0,0,1,33,1,https://www.instagram.com/p/B_x6mBeFEpt/
2020-05-05,1,0,0,0,1,36,1,https://www.instagram.com/p/B_06xQZlh4T/
2020-05-07,1,0,0,0,1,37,1,https://www.instagram.com/p/B_58StBFh7J/
2020-05-08,2,0,0,0,1,38,1,https://www.instagram.com/p/B_8RiRZlTqv/
2020-05-09,1,0,0,0,1,39,1,https://www.instagram.com/p/B__NL_8lak4/
2020-05-10,0,0,0,0,1,41,1,https://www.instagram.com/p/CABh966l5cC/
2020-05-11,1,0,0,0,1,41,1,https://www.instagram.com/p/CAEDzitl3j5/
2020-05-12,1,0,0,0,1,46,1,https://www.instagram.com/p/CAGwiNSlYwP/
2020-05-13,0,0,0,0,1,48,1,https://www.instagram.com/p/CAJRTOdFohH/
2020-05-14,3,0,0,0,1,49,1,https://www.instagram.com/p/CAMEGW7lSpU/
2020-05-15,0,0,0,0,6,60,6,https://www.facebook.com/dicom.saogabriel.3/photos/a.375820035921696/1350381768465513/?type=3
2020-05-16,0,0,0,0,6,60,6,https://www.facebook.com/dicom.saogabriel.3/photos/a.375820035921696/1351175451719478/?type=3
2020-05-19,11,0,1,0,6,72,7,https://www.instagram.com/p/CAYvnIMlZBo/
2020-05-20,51,0,2,1,6,78,9,https://www.facebook.com/dicom.saogabriel.3/photos/a.375820035921696/1354634234706933/?type=3
2020-05-21,47,0,4,1,6,82,11,https://www.instagram.com/p/CAeJmqMHzH9/
2020-05-22,48,0,7,1,6,93,14,https://www.instagram.com/p/CAgoc3JHOtC/
2020-05-23,34,0,9,1,6,112,16,https://www.instagram.com/p/CAjMhMdnPdx/
2020-05-24,34,0,10,1,6,112,17,https://www.instagram.com/p/CAlyn_Ln6ws/
2020-05-25,23,5,14,1,6,121,26,https://www.facebook.com/dicom.saogabriel.3/photos/a.375820035921696/1358908197612870/?type=3&theater
2020-05-26,12,4,17,1,6,150,28,https://www.instagram.com/p/CAq3jOLlhdl/
2020-05-27,11,4,22,1,6,157,33,https://www.facebook.com/dicom.saogabriel.3/photos/a.375820035921696/1360501547453535/?type=3&theater
2020-05-28,10,6,24,1,6,173,37,https://www.instagram.com/p/CAv-DcQFKcZ/
2020-05-29,12,8,34,1,6,188,49,https://www.instagram.com/p/CAy6WNVlNNW/
2020-05-30,14,9,29,1,12,201,51,https://www.instagram.com/p/CA1K-PmllJ5/
2020-06-01,7,9,32,1,19,236,61,https://www.instagram.com/p/CA6hVR4lMV2/
2020-06-02,7,10,32,2,19,257,63,https://www.instagram.com/p/CA83OjYlh5x/
2020-06-03,15,10,40,2,27,283,79,https://www.instagram.com/p/CA_eGPbl9gd/
2020-06-04,17,10,52,3,27,308,92,https://www.instagram.com/p/CBCMD0el-Ip/
2020-06-05,16,10,57,3,31,324,101,https://www.instagram.com/p/CBE74iLFxxk/
2020-06-06,12,10,59,3,31,337,103,https://www.facebook.com/dicom.saogabriel.3/photos/a.375820035921696/1369136363256720/?type=3
2020-06-07,13,9,60,4,31,341,104,https://www.facebook.com/dicom.saogabriel.3/photos/a.375820035921696/1370968283073528/?type=3&theater
2020-06-08,6,7,55,4,42,376,108,https://www.instagram.com/p/CBMp0KmlDoT/
2020-06-09,4,10,58,4,42,407,114,https://www.instagram.com/p/CBO_U2QpiQw/
2020-06-10,9,9,60,5,49,457,123,https://www.instagram.com/p/CBRrJ5zF52G/
2020-06-11,12,10,65,6,49,504,130,https://www.facebook.com/dicom.saogabriel.3/photos/a.375820035921696/1373520972818259/?type=3
2020-06-12,7,7,76,6,56,581,145,https://www.instagram.com/p/CBWriW2F8BV/
2020-06-13,8,6,80,6,56,585,148,https://www.instagram.com/p/CBZecCPFmNh/
2020-06-15,13,9,80,6,67,684,162,https://www.instagram.com/p/CBeX2YkF7cI/
2020-06-16,7,6,79,7,77,724,169,https://www.instagram.com/p/CBheF6dFXqc/
2020-06-17,5,6,89,7,79,748,181,https://www.instagram.com/p/CBj6hvPFxwU/
2020-06-18,6,7,93,7,79,769,186,https://www.instagram.com/p/CBmHuvgFJjJ/
2020-06-19,3,6,98,8,82,832,194,https://www.instagram.com/p/CBoxQU0lbqo/
2020-06-20,7,6,97,9,82,843,194,https://www.instagram.com/p/CBrQzUjlQHt/
2020-06-21,9,6,97,9,82,844,194,https://www.facebook.com/dicom.saogabriel.3/photos/a.375820035921696/1382136385290051/?type=3
2020-06-22,8,5,98,9,93,893,205,https://www.instagram.com/p/CBwdbg0Fj4Q/
2020-06-23,6,5,95,9,99,937,208,https://www.instagram.com/p/CBzDxwPFqt_/
2020-06-24,6,5,89,9,109,963,212,https://www.instagram.com/p/CB1oWgPFq9m/
2020-06-25,9,7,88,9,111,982,215,https://www.instagram.com/p/CB4KBDYljT0/
2020-06-26,5,4,72,9,131,1029,216,https://www.instagram.com/p/CB6pa5zl4ul/
2020-06-27,9,5,71,9,131,1040,216,https://www.instagram.com/p/CB9Cj9llavt/
2020-06-28,10,5,71,9,131,1041,216,https://www.instagram.com/p/CB_pPrAlHFp/
2020-06-29,7,5,58,9,146,1097,218,https://www.instagram.com/p/CCCZxphF3SA/
2020-06-30,5,5,49,9,158,1123,221,https://www.instagram.com/p/CCE8oKJlzsg/
2020-07-01,6,5,43,9,166,1147,223,https://www.facebook.com/dicom.saogabriel.3/photos/a.375820035921696/1390812051089151/?type=3
2020-07-02,4,4,44,9,172,1177,229,https://www.instagram.com/p/CCKeBgJFTkj/
2020-07-03,6,4,36,9,183,1219,232,https://www.instagram.com/p/CCMyb5tF_vK/
2020-07-04,13,4,36,9,183,1225,232,https://www.instagram.com/p/CCPH-I8FD2j/
2020-07-06,14,8,26,9,194,1257,237,https://www.instagram.com/p/CCUeLUOlMbh/
2020-07-07,5,10,26,9,199,1296,244,https://www.instagram.com/p/CCXHR_RF_Zk/
2020-07-08,8,10,28,9,201,1318,248,https://www.instagram.com/p/CCZmQbpF6cI/
2020-07-09,15,10,34,9,204,1357,257,https://www.instagram.com/p/CCcQjEKFiOu/
2020-07-10,12,13,37,9,204,1403,263,https://www.instagram.com/p/CChX1pAF9ZK/
2020-07-11,25,11,41,9,204,1411,265,https://www.instagram.com/p/CChX2uxliXw/
2020-07-13,27,13,49,9,208,1515,279,https://www.instagram.com/p/CCme_uIF-JV/
2020-07-14,12,14,60,9,211,1549,294,https://www.instagram.com/p/CCro7VoFAzN/
2020-07-15,8,13,66,10,212,1601,301,https://www.instagram.com/p/CCrsNkvlA3B/
2020-07-16,15,16,64,10,218,1665,308,https://www.instagram.com/p/CCuNh4slwth/
2020-07-17,12,17,73,11,219,1740,320,https://www.instagram.com/p/CCxBsPIFS9O/
2020-07-18,24,16,74,11,219,1755,320,https://www.instagram.com/p/CCzbP--FoC4/
2020-07-19,28,17,73,11,219,1756,320,https://www.instagram.com/p/CC14e07FvNF/
2020-07-20,21,16,86,11,226,1842,339,https://www.facebook.com/dicom.saogabriel.3/photos/a.375820035921696/1406693152834374/?type=3
2020-07-21,30,17,94,11,228,1901,350,https://www.facebook.com/dicom.saogabriel.3/photos/a.375820035921696/1407555552748134/?type=3&theater
2020-07-22,35,13,96,11,235,1990,355,https://www.facebook.com/dicom.saogabriel.3/photos/a.375820035921696/1408440339326322/?type=3&theater
