ID,Título,Conteúdo,Data
5206,['São Gabriel tem nova gestão: Rossano e Karen tomam posse.            \r\n'],"['O primeiro dia de 2017 marcou o início de uma nova gestão à frente do Poder Executivo Municipal e de novas legislaturas em todo o país. Em São Gabriel, o ato de posse foi realizado às 16 horas, na Câmara Municipal de Vereadores, com a posse dos novos parlamentares e também do prefeito municipal, Rossano Dotto Gonçalves, e sua vice, Karen Lannes. \xa0 \xa0', <br/>, <br/>, 'O ato de instalação da legislatura foi presidido pelo parlamentar mais idoso, vereador Evaristo de Oliveira Guedes (PPS), como determina a legislação. Os vereadores prestaram o juramento estabelecido pela Lei Orgânica e entregaram os diplomas expedidos pela Justiça Eleitoral e a declaração de bens. Em seguida, foi realizada a eleição da Mesa Diretora, que foi quem deu posse ao prefeito e à vice, mediante a leitura do Juramento estabelecido em lei.', <br/>, <br/>, 'Em seu pronunciamento, o prefeito empossado falou do seu compromisso com o reequilíbrio das contas públicas, com a já efetuada redução do número de secretarias, que será seguida por corte de cargos em comissão, economia de despesas e mudança do perfil da dívida, tendo como prioridade o diagnóstico da situação da prefeitura, nos primeiros dias. “Estamos muito cientes da responsabilidade que nos foi delegada, mas também confiantes, porque acreditamos que São Gabriel tem jeito”, assinalou. ', <br/>, <br/>]","['São Gabriel, 02/01/2017']"
5207,['Prefeito dá posse aos novos secretários.            \r\n'],"['A palavra de ordem é: comprometimento e respeito à coisa pública. Com este imperativo, o Prefeito Municipal de São Gabriel, Rossano Dotto Gonçalves, deu posse aos secretários municipais da Gestão 2017/2020 na manhã desta segunda-feira, 02 de Janeiro, no saguão do Palácio Plácido de Castro, um dia depois da posse constitucional realizada na Câmara de Vereadores. ', <br/>, <br/>, 'Na ocasião, juntamente com a vice-prefeita Karen Lannes, o prefeito municipal deu posse aos secretários Valdemir Jobim (Administração), Rafael Gonçalves (Gabinete), Artur Goularte (Fazenda), Clóbis Saccol (Jurídico), Ricardo Júnior (Planejamento), Ricardo Coirolo (Saúde), Sildo Cabreira (Educação), Marcos Vieira (Obras), Juliana Medeiros (Indústria e Comércio), Antônio Pedro “Pepeca” Bertazzo (Serviços Urbanos), Carlos Cléber Dias Leal (Agricultura) e Karen Lannes (Assistência Social). ', <br/>, <br/>, 'Alguns secretários tomaram posse também respondendo por outras pastas que serão extintas ou fundidas na futura reforma administrativa. É o caso de Rafael Gonçalves, do Gabinete, que acumula a pasta de Gestão e Relações Comunitárias; Juliana Medeiros, da Indústria e Comércio, que será fundida com a pasta do Turismo; e Carlos Cléber Leal,da Agricultura, que irá absorver a secretaria de Viação e Transportes. ', <br/>, <br/>, 'O Chefe de Gabinete, Rafael Gonçalves, falando em nome dos secretários empossados, destacou a importância da união e da lealdade ao projeto por parte de todos. “Como o prefeito Rossano costuma dizer, precisaremos de comprometimento. Não apenas entre nós, integrantes da gestão, mas especialmente comprometimento com o projeto escolhido pela vontade da população”, ressaltou.', <br/>, <br/>, 'O prefeito Rossano enfatizou que a nova equipe de trabalho irá levantar a situação de cada pasta da prefeitura em um amplo diagnóstico, e trabalhará para honrar a folha de pagamento do funcionalismo do mês de dezembro, que não foi paga na administração anterior. “Estamos cientes que vamos encontrar pela frente muita desestruturação, mas estamos motivados, temos uma equipe preparada e entusiasmada pra fazer valer o cumprimento dos nossos compromissos”, ressaltou.', <br/>, <br/>, 'Após a nomeação dos secretários, foi realizado um Culto Ecumênico, com bênção proferida pelo Bispo Jairo Minho, superintendente regional da Igreja do Evangelho Quadrangular, e o Pastor Claudiomiro Borges, da Igreja Evangélica Nova Aliança, juntamente com os pastores Leonardo Medina (Associação Missionária Luz das Nações), Rogério Ataíde (Igreja do Evangelho Quadrangular do Bairro Bom Fim) e Cláudio Moreira (Igreja do Evangelho Quadrangular em Vila Nova do Sul). ', <br/>, <br/>, <br/>]","['São Gabriel, 02/01/2017']"
5208,['Prefeitura terá expediente interno até quarta.            \r\n'],"['Com o propósito de averiguar todos os documentos, convênios e o estado das finanças públicas,\xa0 o Prefeito Rossano Gonçalves estabeleceu expediente interno para todos os setores administrativos das secretarias municipais,de segunda até quarta-feira, 04 de janeiro. A decisão foi oficializada através do Decreto Executivo 017/2017.', <br/>, <br/>, 'A decisão não afeta o atendimento do Serviço de Atendimento ao Contribuinte – SAC, no Centro Administrativo Eudóxia Garcia Chagas, nos fundos da prefeitura, que prossegue normalmente.', <br/>, <br/>, ' “Este período é necessário para que as secretarias façam um detalhado levantamento de toda a documentação, dos serviços e programas em andamento”, ressaltou o Chefe do Executivo.', <br/>, <br/>, <br/>]","['São Gabriel, 02/01/2017']"
5209,['Prefeito cria Grupo de Trabalho para ações emergenciais.            \r\n'],"['Além de traçar o diagnóstico do atual estado da máquina pública, tarefa em que estão envolvidas todas as secretarias, o novo Governo Municipal precisa também realizar ações urgentes para recuperação de vias urbanas, estradas, escolas e outros equipamentos públicos. Para isso, o Prefeito Municipal Rossano Gonçalves instituiu, no primeiro dia de trabalho na nova gestão, um Grupo de Trabalho que reúne secretarias estratégicas, para acompanhamento diário das ações emergenciais.', <br/>, <br/>, 'O Grupo de Trabalho para Ações Emergenciais reúne os secretários Marcos Vieira (Obras), Antônio Pedro “Pepeca” Bertazzo (Serviços Urbanos), Carlos Cléber Dias Leal (Transportes) e Artur Goularte (Fazenda). O grupo se reunirá diariamente com o Prefeito Municipal, para acompanhamento das ações, levantamento das necessidades e determinar os serviços e despesas necessários.', <br/>, <br/>, '“A comunidade aguarda resultados, e por isso, enquanto a gestão se organiza, é necessário fazer frente aos desafios mais urgentes, tarefa que vai caber mais diretamente a este grupo”, ressaltou.', <br/>]","['São Gabriel, 03/01/2017']"
5210,['Rossano e Karen tomam posse em São Gabriel e destacam meta de restaurar as finanças            \r\n'],"['O primeiro dia de 2017 marcou o início de uma nova gestão à frente do Poder Executivo Municipal e de novas legislaturas em todo o país. Em São Gabriel, o ato de posse foi realizado às 16 horas, na Câmara Municipal de Vereadores, com a posse dos novos parlamentares e também do prefeito municipal, Rossano Dotto Gonçalves, e sua vice, Karen Lannes. \xa0 \xa0', <br/>, <br/>, 'O ato de instalação da legislatura foi presidido pelo parlamentar mais idoso, vereador Evaristo de Oliveira Guedes (PPS), como determina a legislação. Os vereadores prestaram o juramento estabelecido pela Lei Orgânica e entregaram os diplomas expedidos pela Justiça Eleitoral e a declaração de bens. Em seguida, foi realizada a eleição da Mesa Diretora, que foi quem deu posse ao prefeito e à vice, mediante a leitura do Juramento estabelecido em lei.', <br/>, <br/>, 'Em seu pronunciamento, o prefeito empossado falou do seu compromisso com o reequilíbrio das contas públicas, com a já efetuada redução do número de secretarias, que será seguida por corte de cargos em comissão, economia de despesas e mudança do perfil da dívida, tendo como prioridade o diagnóstico da situação da prefeitura, nos primeiros dias. “Estamos muito cientes da responsabilidade que nos foi delegada, mas também confiantes, porque acreditamos que São Gabriel tem jeito”, assinalou. ', <br/>, <br/>, 'Redação: Pr. Cláudio Moreira (MTb/DRT-RS/010499)', <br/>, <br/>, <br/>]","['São Gabriel, 03/01/2017']"
5211,['Novo governo capta recursos e garante pagamento da folha de Dezembro            \r\n'],"['Na próxima sexta-feira, os servidores municipais da Prefeitura de São Gabriel terão os valores líquidos dos seus salários depositados em suas contas. A garantia foi dada pelo Prefeito Municipal Rossano Gonçalves, em reunião na tarde desta quarta-feira, 04 de Janeiro, juntamente com o Secretário Municipal da Fazenda, Artur Delfino Castro Goularte, o Secretário de Administração e Recursos Humanos, Valdemir de Andrade Jobim, e o Chefe de Gabinete Rafael Gonçalves. ', <br/>, <br/>, 'O secretário da Fazenda, Artur Goularte, ressaltou que o Município teve de fazer um esforço concentrado para garantir o pagamento da folha até o quinto dia útil. “Embora a gestão anterior tenha anunciado que deixou cerca de R$ 1 milhão em contas-movimento, apenas R$ 372.825,00 eram recursos livres que poderiam ser lançados para pagamento da folha, e os demais recursos eram vinculados oficialmente a outras despesas”.', <br/>, <br/>, 'O prefeito determinou que os recursos que ingressassem no tesouro a partir do novo governo fossem priorizados para o pagamento da folha. “Hoje, portanto, conseguimos encaminhar à Caixa Econômica Federal o montante líquido da folha, garantindo R$ 2.448.642,00 para os salários de dezembro, sendo que mais de R$ 2 milhões foram recursos que ingressaram nos últimos dias, das mais variadas fontes como IPVA, Fundeb, e outros ingressos constitucionais”, assinalou o Prefeito. ', <br/>, <br/>, 'Ao longo dos próximos dias ainda serão depositados mais R$ 2.324.000,00 (dois milhões, trezentos e vinte e quatro mil reais) referentes a encargos e retenções da folha. “Mas o dinheiro que o servidor tem a receber, já está garantido, porque em todas as nossas gestões a valorização do funcionalismo sempre foi uma prioridade absoluta, e estamos garantindo isso mesmo em tempos de dificuldades, porque o servidor é a nossa grande força de trabalho”, ressaltou o prefeito.', <br/>, <br/>, 'O Município está também fazendo a gestão necessária para honrar outras despesas deixadas pela gestão anterior, como R$ 107.000,00 em rescisões de antigos Cargos de Confiança que não foram pagas, e R$ 600.000,00 relativos a primeira parcela das férias dos professores municipais.\xa0 “Vamos fazer a gestão, otimizar os recursos e estabelecer prioridades, como sempre fizemos”, assinalou Rossano. ', <br/>, <br/>, <br/>]","['São Gabriel, 04/01/2017']"
5212,['Prefeito recebe a comunidade na Agenda Popular            \r\n'],"['Depois de três dias de expediente interno para análise do estado da máquina pública e das finanças, o Prefeito Rossano Gonçalves reabriu o expediente externo no Palácio Plácido de Castro, atendendo a população de porta aberta e dialogando com a comunidade.', <br/>, <br/>, 'Tanto o Prefeito quanto o Chefe de Gabinete, Rafael Gonçalves, atenderam a população sem necessidade de agendamento prévio, ouvindo as reivindicações e os pedidos ao Executivo, e encaminhando para as secretarias responsáveis conforme necessário. “Pretendemos fazer esta Agenda Popular pelo menos uma vez a cada duas semanas, conforme a demanda, para estreitar cada vez mais o diálogo com a população”.', <br/>, <br/>, 'Das principais demandas apontadas, as que mais foram solicitadas eram referentes à questão habitacional e à geração de empregos, sensivelmente abalada pela crise econômica nacional. “Isso reforça ainda mais nosso compromisso de desenvolver um projeto habitacional amplo e de buscar ações que promovam o desenvolvimento, para facilitar a abertura de novas empresas e gerar empregos. Vamos construir soluções para estimular a construção civil e o dinamismo da nossa iniciativa privada, para criar mais oportunidades para nossa gente”, ressaltou. ', <br/>, <br/>, <br/>]","['São Gabriel, 05/01/2017']"
5213,['Prefeito recebe Comandante Regional da Brigada Militar            \r\n'],"['O tema da Segurança Pública, um dos pontos principais da plataforma de gestão do prefeito Rossano Gonçalves, e que ganhou maior relevância após a morte violenta do policial militar Bento Borges Júnior no feriado de natal, segue sendo tratado com atenção. ', <br/>, <br/>, 'Na tarde desta quinta-feira, 05 de janeiro, o prefeito recebeu visita do Comandante Regional de Policiamento Ostensivo da Fronteira Oeste, coronel Kléber Goulart, juntamente com o comandante local do 4.º Esquadrão da Brigada Militar, capitão Renato Assis Brasil.', <br/>]","['São Gabriel, 06/01/2017']"
5214,['DNIT determina retirada de letreiro na entrada da cidade            \r\n'],"['Um letreiro de boas vindas instalado na entrada de São Gabriel, feito em aço inox espelhado, terá de ser removido do local. A informação é do Secretário Municipal de Serviços Urbanos, Antônio Pedro “Pepeca” Bertazzo.', <br/>, <br/>, 'Segundo o secretário, a retirada atende a determinação do DNIT – Departamento Nacional de Infra-Estrutura de Transportes. Em 19 de dezembro, a Superintendência estadual do órgão, com sede em Uruguaiana, encaminhou notificação à prefeitura, solicitando a remoção do letreiro, por não atender as regulações técnicas para letreiros em rodovias. “O letreiro está ofuscando os carros à noite, e não segue as normas técnicas aprovadas por este órgão”, disse o Supervisor do DNIT, engenheiro Pedro Luzardo Gomes.', <br/>, <br/>, 'O Secretário de Serviços Urbanos declarou que iniciará a retirada do letreiro na segunda-feira. O letreiro foi instalado pela administração anterior, em meados de outubro, a um custo total de R$ 16.900,00 sendo dois pagamentos de R$ 7 mil e mais um reparo de R$ 2.900 para correção ortográfica. ', <br/>, <br/>, 'Redação: Cláudio Moreira (MTb/DRT/RS 010499)', <br/>, <br/>, <br/>]","['São Gabriel, 06/01/2017']"
5215,['Aberto o Censo Agropecuário de 2017            \r\n'],"['A atualização cadastral das propriedades rurais em São Gabriel já começou, e tem prazo definido para encerrar.\xa0 Teve início nesta segunda-feira, 02 de janeiro, o Censo Agropecuário 2017, relativo ao ano base de 2016, para apresentação dos Talões de Produtor Rural.', <br/>, <br/>, 'Segundo o Coordenador de Serviços do Setor de ICMS da Secretaria Municipal da Fazenda, Luiz Fernando Padilha, os produtores têm até o dia 10 de fevereiro, sexta-feira, para fazer a entrega dos seus documentos no setor de ICMS, das 8h às 13:45h, sempre de segunda a sexta-feira.', <br/>, <br/>, 'Redação: Cláudio Moreira (MTb/DRT/RS 010499)', <br/>, <br/>, <br/>]","['São Gabriel, 06/01/2017']"
